Link,Comuna,Propiedad,Tipo,precio,precio_CLP,Ubicación,Dormitorios,Baños,Metros,Entrega,Disponibles
https://portalinmobiliario.com/MLC-2891086464-casa-condominio-3d2salas3bservicioy-jardin-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa Condominio 3d+2salas+3b+servicioy Jardin,casa,"UF
44",1722424,"Valenzuela Puelma 9919, Las Condes, La Reina, La Reina Alta, La Reina, RM (Metropolitana)",3 dormitorios,4 baños,120 m² útiles,,
https://portalinmobiliario.com/MLC-1610429379-casa-en-arriendo-de-3-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa En Arriendo De 3 Dorm. En La Reina,casa,"UF
55",2153030,"The Grange School, Metro Príncipe De Gales - Country Club, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,140 m² útiles,,
https://portalinmobiliario.com/MLC-2885888092-linda-casa-la-reina-muy-cerca-grange-school-saint-johns-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Linda Casa La Reina Muy Cerca Grange School /saint John´s,casa,"$
1.900.000",1900000,"Alcalde Rutilio Rivas 7541, 7.8501e+06 - 7.8504e+06 La Reina, Región Metropolitana, Chile, Carlos Ossandón, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,286 m² útiles,,
https://portalinmobiliario.com/MLC-1587899427-arriendo-amplia-e-iluminada-casa-3-dorm-y-2-banos-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Arriendo Amplia E Iluminada Casa 3 Dorm Y 2 Baños,casa,"$
1.400.000",1400000,"Amado Nervo, La Reina, Metro Simón Bolivar, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,150 m² útiles,,
https://portalinmobiliario.com/MLC-2856607086-casa-en-arriendo-de-3-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa En Arriendo De 3 Dorm. En La Reina,casa,"UF
44
,
29",1722424,"Alvaro Casanova, La Reina, La Reina Alta, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,110 m² útiles,,
https://portalinmobiliario.com/MLC-1608021245-bungalow-en-maravilloso-terreno-de-561-m2-3-dorm-2-banos-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,"Bungalow En Maravilloso Terreno De 561 M2.. 3 Dorm, 2 Baños.",casa,"$
2.100.000",2100000,"Pintor Julio Ortiz De Zárate 10200 - 10500, La Reina, La Reina Alta, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,140 m² útiles,,
https://portalinmobiliario.com/MLC-2889850582-ramon-laval-metro-principe-de-gales-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Ramon Laval - Metro Principe De Gales,casa,"$
985.000",985000,"Ramón Laval 1630, La Reina, Metro Príncipe De Gales - Country Club, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,108 m² útiles,,
https://portalinmobiliario.com/MLC-2887719162-arriendo-casa-primer-piso-los-maitenes-496-la-reina-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,"Arriendo Casa Primer Piso Los Maitenes 496, La Reina",casa,"$
820.000",820000,"Los Maitenes 946, La Reina, Pepe Vila, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,65 m² útiles,,
https://portalinmobiliario.com/MLC-2884948894-arriendo-casa-en-la-reina-entre-lynch-y-tobalaba-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Arriendo Casa En La Reina Entre Lynch Y Tobalaba,casa,"$
850.000",850000,"Simon Bolivar SN, Metro Simón Bolivar, La Reina, RM (Metropolitana)",3 dormitorios,1 baño,70 m² útiles,,
https://portalinmobiliario.com/MLC-2891126590-arriendo-hermosa-casa-3d2bquinchopiscinacasa-de-servicio-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Arriendo Hermosa Casa 3d+2b+quincho+piscina+casa De Servicio,casa,"$
2.000.000",2000000,"Vista Hermosa, La Reina, Palmas De Mallorca, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,130 m² útiles,,
https://portalinmobiliario.com/MLC-2878342340-casa-de-ensueno-en-la-reina-alta-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa De Ensueño En La Reina Alta,casa,"UF
74
,
30",2896804,"Valenzuela Puelma 10235, La Reina, La Reina Alta, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,290 m² útiles,,
